framenr,kanji,keyword,public,last_edited,story
1230,穏,"calm",0,2018-12-25 22:25:53,"The *wheat* farmer pets the *vultures* with a *broom* to calm their *heart* down."
1231,侵,"encroach",0,2018-12-25 22:31:26,"Encroach on *Obama*'s territory and he'll kick the *crowned* individual responsible in the *crotch* with a *broom*."
1232,浸,"immersed",0,2018-12-25 22:35:00,"Virtual reality has improved so much that you can feel immersed swimming in *water* or kicking *crowded* individuals in the *crotch* with a *broom*."
1233,寝,"lie down",0,2018-12-25 22:37:39,"After a tiring day of kicking *crowded* individuals in the *crotch* with a *broom*, the dude goes *home* and #lies down# with a *turtle*."
1234,婦,"lady",0,2018-12-25 22:41:57,"In the past, the picture of an ideal lady was a woman wearing an *apron* and *sweeping* up dust."
1235,掃,"sweep",0,2018-12-25 22:45:19,"After a clean sweep of the place using her *broom*, she takes off her *apron* and takes a *finger* and swipes it across the drawer to check for dust."
1236,当,"hit",0,2018-12-25 22:46:54,"Hit the *broom* to get off the *little* specks of dust."
1237,彙,"glossary",0,2018-12-25 22:48:37,"We had no idea what a *crowned fruit* was so we *mutually* checked the glossary.   Well, I say mutually, but really I did all the work."
1238,争,"contend",0,2018-12-26 21:11:40,"If the contender wins, he is *bound* to *rake* in all the glory."
1239,浄,"clean",0,2018-12-26 21:13:50,"After that bloody, gory match, the *contender* cleans himself up with *water*."
1240,事,"matter",0,2018-12-26 21:21:57,"Wealth is one mouth devouring a rice field, however, not all wealthy individuals are evil, it's the matter of how *one mouth rakes* in his dough."
1241,唐,"T'ang",0,2018-12-26 21:26:48,"I imagine that people from the T'ang dynasty looked a bit like cartoony asians, with teeth so prominent that looked like *rakes* on their *mouth*. They felt ridiculous about that, so they usually hid on *caves*, wishing for a dynasty with better depictions."
1242,糖,"sugar",0,2018-12-26 21:30:21,"The *T'ang* are the ones who began using sugar in China--of course, the first thing they tried it on was *rice*."
1243,康,"sane",0,2018-12-26 21:38:13,"The thing keeping me sane when I'm stuck in this *cave* is my *sieve* that drains out the rice."
1244,逮,"apprehend",0,2018-12-26 21:40:21,"The police have a new way of apprehending criminals; a big *sieve* in the *road*. Innocent people pass over, but people with a guilty conscience fall through."
1245,伊,"Italy",0,2018-12-26 21:46:27,"When *Obama* visited Italy, there was a monumental effort to *mop* up its beaches and government buildings."
1246,君,"old boy",0,2018-12-26 21:51:21,"The #older boys# bully the younger ones by putting *mops* in their *mouths*"
1247,群,"flock",0,2018-12-26 21:52:38,"*Good ol' boys* are like *sheep*; they tend to flock together."
1248,耐,"-proof",0,2018-12-26 21:58:46,"My mom's fool*proof* idea when I was younger was to use hair *glue* on me so that I didn't have to *comb* it."
1249,需,"demand",0,2018-12-26 22:01:04,"Supply and demand is a simple concept: when it *rains*, the demand for *combs* goes up to deal with wet hair."
1250,儒,"Confucian",0,2018-12-26 22:07:18,"Many PEOPLE follow the DEMANDS of Confucian living."
1251,端,"edge",0,2018-12-26 22:10:08,"To show off, this dude *stood* on the edge of a *mountain* and combed his *hair* before taking a photo of himself."
1252,両,"both",0,2018-12-26 22:15:53,"Both the ceiling of heaven and the mountains are belted to the Earth."
1253,満,"full",0,2018-12-27 22:02:49,"Putting *both* *flowers* and *water* in a vase will make it full."
1254,画,"brush-stroke",0,2018-12-27 22:07:55,"The first kanji you learned in RTK, 一,  had just *one* brush-stroke. Then your kanji-knowledge *sprouted* and now, by kanji 1254, you know a *shovel*full!
(Modified chully's story.)"
1255,歯,"tooth",0,2018-12-27 22:10:56,"*Stop shoveling rice* or you'll damage your #teeth#."
1256,曲,"bend",0,2018-12-27 22:13:43,"You can control his brain by bending the two sticks up top"
1257,曹,"cadet",0,2018-12-27 22:15:43,"A space cadet eager to make *one bend* around the *sun*.  (a dangerous maneuver)"
1258,遭,"encounter",0,2018-12-27 22:17:35,"The space *cadet* encounters aliens on the *road*."
1259,漕,"rowing",0,2018-12-27 22:19:35,"A space *cadet* has crashed on an unknown planet. Fortunately he crashed in *water* so he's unharmed, but now he has to do some rowing to get out of the *water*"
1260,槽,"vat",0,2018-12-27 22:24:48,"space *cadets* are decompressed in *wooden* vats when they return to Earth"
1261,斗,"Big Dipper",0,2018-12-27 22:28:03,"The Big Dipper can be used for a measuring cup for the ten ingredents to put in your soup"
1262,料,"fee",0,2018-12-27 22:31:05,"Your fee is calculated by how much rice is in the measuring cup"
1263,科,"department",0,2018-12-27 22:35:43,"The Department of Agriculture and NASA (Astrology Department)"
1264,図,"map",0,2018-12-27 22:38:52,"A map is square, and *pent up* within it, *dot, dot, x* marks the spot"
1265,用,"utilize",0,2018-12-27 22:43:22,"If you can utilize the *screwdriver* and *stick* it in a good *part of the body*, you can deliver a deathy blow."
1266,庸,"comfortable",0,2018-12-27 22:47:06,"If you feel comfortable living in a *cave* and comfortable using a *screwdriver*, you can *rake* in a lot of dough."
1267,備,"equip",0,2018-12-27 22:52:19,"*Obama* wishes to improve Nigeria Falls. Equipping the *screwdriver*, he screws *flowers* onto the *cliff*."
1268,昔,"once upon a time",0,2018-12-28 21:56:09,"Once upon a time, the children were forced to eat their salad every day."
1269,錯,"confused",0,2018-12-28 21:59:37,"Confused *gold*smiths couldn't differentiate fake *gold* from real *gold* *once upon a time*. Nowadays, we have the tech to do so."
1270,借,"borrow",0,2018-12-28 22:02:15,"you'd borrow from a *person* *once upon a time*. These days you go to a bank."
1271,惜,"pity",0,2018-12-28 22:05:08,"What a pity! My *state of mind* when I think of the opportunities I missed from *once upon a time*"
1272,措,"set aside",0,2018-12-28 22:11:17,"Physically set aside your work with your *fingers* to read your kids a bedtime story: ""*Once upon a time*..."""
1273,散,"scatter",0,2018-12-28 22:15:29,"The students are making a ruckus. ""Scatter,"" the *taskmaster* says, ""before I chop your *body parts* up and put them in my *salad*."""
1274,廿,"twenty",0,2018-12-28 22:17:21,"Two tens joining together to make twenty"
1275,庶,"commoner",0,2018-12-28 22:23:40,"A stupid commoner get trapped in a *cavern*, attempts to light a *fire* but ends up lighting himself on *fire*!"
1276,遮,"intercept",1,2018-12-28 22:29:16,"A simple *commoner* is flipping between radio stations on the *road* when he accidentally intercepts a secret military radio station."
1277,席,"seat",0,2018-12-28 22:30:19,"This *towel* better make a nice seat since I'm stuck in this *cavern*."
1278,度,"degrees",0,2018-12-28 22:32:58,"The temperature in this *cavern* stays at a steady 32 degrees, so be sure to cover your *crotch*!"
1279,渡,"transit",0,2018-12-28 22:37:13,"Some foods must be stored packed in *water* below zero *degrees* (frozen water) while in transit."
1280,奔,"bustle",0,2018-12-28 22:43:00,"He had to escape the hustle and bustle of the city in a boxcar filled with *large haystacks*."
1281,噴,"erupt",0,2018-12-28 22:45:54,"History of Pompeii: An unexpected eruption and from the *mouths* of the volcano come lava that threatens the farmers collecting *haystacks* in the fields and the fisherman catching *shells* on the coast"
1282,墳,"tomb",0,2018-12-28 22:50:20,"The volcano buried the farmers and fishermen under such thick ash that the land became their tomb"
1283,憤,"aroused",0,2018-12-30 21:55:18,"*Farmers and fishermen* no longer get in an aroused *state of mind* doing their work."
1284,焼,"bake",0,2018-12-30 21:58:48,"The *straw man* tried to bake himself some cookies, but ended up catching himself on *fire*!"
1285,暁,"daybreak",0,2018-12-30 22:02:22,"The first person to see the *sun* at daybreak is of course the *straw man* who stands outside all *day*."
1286,半,"half",0,2018-12-30 22:06:56,"three was broken in half by a walking stick"
1287,伴,"consort",0,2018-12-30 22:08:52,"*Obama* consorts with his conscience, his better *half*."
1288,畔,"paddy ridge",0,2018-12-30 22:09:48,"A PADDY-RIDGE divides the RICE PADDY in HALF"
1289,判,"judgment",0,2018-12-30 22:14:11,"It takes great judgment to slice a cake in exactly *half* with a *saber*."
1290,拳,"fist",0,2018-12-30 22:18:35,"Quarter primitive: Slicing a large object in half will earn you a quarter.

Throw a quarter in the air and catch it in your hand making a fist."
1291,券,"ticket",0,2018-12-30 22:22:02,"Two ways to get a ticket: Pay a *quarter* for the ticket or threaten the guy at the counter with a *dagger*."
1292,巻,"scroll",0,2018-12-30 22:27:12,"A man reads from the scroll warning the townspeople of a runaway *snake* wanted dead or alive with a bounty of *25¢*"
1293,圏,"sphere",0,2018-12-30 22:31:03,"the entire sphere of human knowledge is now *pent up* in the internet... you just have to *scroll* down to read it!"
1294,勝,"victory",0,2018-12-30 22:36:50,"A bodybuilder competition: The one who flexes his *muscles* and *body parts* the most claims victory and a *quarter*."
1295,藤,"wisteria",0,2018-12-30 22:39:46,"Wisteria is the *flower* of the *month*, so it's 25% (or a *quarter*) off, and comes with free *grains of rice* as a bonus!"
1296,謄,"facsimile",0,2018-12-30 22:45:40,"Our facsimilie machine won't copy body parts, but it will copy the words on your documents for just a quarter!"
1297,片,"one-sided",0,2018-12-30 22:47:48,"This kanji represents the branches on #one side# of a tree."
1298,版,"printing block",0,2018-12-31 21:55:39,"*One-sided* 片, *anti*反-government #printing press#es are banned in Hong Kong. (""Hong Kong"" implies the reading ハン.) Of course, *one-sided*, pro-government #printing press#es are allowed."
1299,之,"of",0,2018-12-31 21:58:42,"Yet another one of those kanji shaped like a hiragana/katakana character. This one is of the hiragana え"
1300,乏,"destitution",0,2019-01-05 23:15:21,"Extreme poverty

One who does not get off his ass playing around with *eyedroppers* and *building blocks* is stuck in destitution."
1301,芝,"turf",0,2018-12-31 22:05:37,"A small kid marks off his turf with flowers and building blocks saying, ""This is my turf!"""
1302,不,"negative",0,2018-12-31 22:08:55,"Has anyone seen Obama below here? Negative"
1303,否,"negate",0,2018-12-31 22:09:50,"Anything *negative* that comes from his *mouth* negates his entire argument."
1304,杯,"cupfuls",0,2018-12-31 22:12:17,"Hopefully the cupfuls of something you ordered come in *wooden* cups and end up having *negative* calories."
1305,矢,"dart",0,2019-01-01 21:51:39,"When shot high into the *heavens*, the dart looks like a mere *drop*."
1306,矯,"rectify",0,2019-01-01 21:57:47,"The dart-thrower has a god on his side, as an *angel* comes down to rectify his *dart's* aim"
1307,族,"tribe",0,2019-01-01 22:00:59,"With a *banner* declaring ""Keep Out!"" and blow *darts* to back it up, the Amazon tribe is not that friendly."
1308,知,"know",0,2019-01-01 22:02:47,"I should *know*.  After all, I did graduate from #Dart##mouth#!"
1309,智,"wisdom",0,2019-01-01 22:06:24,"You can show off your wisdom by demonstrating your *know*ledge about the *sun*'s cycles."
1310,挨,"shove",0,2019-01-01 22:09:21,"When pushing with the *elbows* comes to shoving with your *fingers*, and shoving comes to blowing a blow *dart* at someone"
1311,矛,"halberd",0,2019-01-01 22:12:23,"The halbred's power is shown in this kanji dismembering this child's head by the neck"
1312,柔,"tender",0,2019-01-01 22:15:57,"Tenderize your meats on the *wooden* grill, slicing it with a *halberd*."
1313,務,"task",0,2019-01-01 22:19:58,"The *taskmaster*'s ultimate task for his students: harnessing all their *power* to demonstrate their mastery of the *halberd*."
1314,霧,"fog",0,2019-01-01 22:23:09,"Think of FOG as a type of RAIN that is slow at the TASK of getting the place wet."
1315,班,"squad",0,2019-01-01 22:26:48,"If you have a SPEAR and TWO BALLS you have no business being on a cheerleading SQUAD."
1316,帰,"homecoming",0,2019-01-01 22:30:08,"The lady went to homecoming with a spear to exact revenge."
1318,引,"pull",0,2019-01-01 22:33:33,"What do you do with a *bow*? Put in a *stick* and pull."
1319,弔,"condolences",0,2019-01-07 09:42:16,"At the funeral of the royal archer, a loaded bow with a stick still inside of it is placed on top of the casket , offered in condolence to the fallen."
1320,弘,"vast",0,2019-01-05 22:01:04,"This land is so vast, I have plenty of *elbow* room to  pull on and shoot my *bow*."
1321,強,"strong",0,2019-01-05 22:05:50,"Acquiring *vast* amounts of experience, the *insect* has become physically and mentally strong."
1322,弥,"more and more",0,2019-01-05 22:10:04,"If you keep giving the *small*, lazy, *reclining* kids *bows*, they'll just want more and more bows."
1323,弱,"weak",0,2019-01-05 22:12:28,"The two marksmen died of frostbite, leaving behind the symbol of their weakness: *iced*-over *bows*."
1324,溺,"drowning",0,2019-01-05 22:16:04,"The *weak* kid started drowning in the *water*."
1325,沸,"seethe",0,2019-01-05 22:23:04,"Seethe. It makes me seethe when I remember *water* costs *$*. It should be free, for everyone's sake!"
1326,費,"expense",0,2019-01-05 22:24:27,"An expense is an expense, whether you put it in *dollars* or in local *money*."
1327,第,"No.",0,2019-01-05 22:27:17,"The No. 1 currency in the world is the *dollar*. But, the Asian nations are fast catching up and may in reality have already surpassed it. So, let the *bamboo* represent the No. 2 currencies (the yen, etc.). The reverse order (*bamboo* on top and the *dollar* on the bottom) is really a look at the future."
1328,弟,"younger brother",0,2019-01-05 22:34:17,"If I had a younger brother and I took him to a restaurant, he'd probably put on devil *horns* on and order the item with the most *dollar (signs)*"
1329,巧,"adroit",0,2019-01-05 22:39:17,"Skillful and adept under pressing conditions.

The drummer was adroit at his *craft*, when his band set got wrecked, he was able to go on with the show just playing his *snare*!"
1330,号,"nickname",0,2019-01-05 22:47:13,"The nickname of ""beat boxer"" is given to those who can imitate a snare drum with their mouth."
1331,朽,"decay",0,2019-01-05 22:48:22,"Snare drums made with wood will eventually decay."
1332,誇,"boast",0,2019-01-05 22:51:21,"A cartoonishly *large* man boasts about his *big ceiling* using bombastic *words*, and in a similarly cartoonish manner, a *snare* drum drops onto him."
1333,顎,"chin",0,2019-01-05 22:56:53,"Jay Leno's audience dropped their *mouths* when they saw his chin. Somehow attached to his *head*, his chin drooped onto the *floor* and looked like a *snare* drum!"
1334,汚,"dirty",0,2019-01-05 22:57:39,"きtanai. Backwards き with drops of dirt coming off it."
1335,与,"bestow",0,2019-01-07 08:34:42,"I shall bestow upon thee *one* trusty *slingshot* to knock out Noah's animals."
1336,写,"copy",0,2019-01-07 08:38:16,"The kingdom has a problem with imposters, attempting to copy those who *bestow* the *crown*."
1337,身,"somebody",0,2019-01-07 08:44:53,"Pictograph of somebody with a prominent paunch"
1338,射,"shoot",0,2019-01-07 08:46:36,"You SHOOT SOMEBODY with a GLUE-gun"
1339,謝,"apologize",0,2019-01-10 10:51:20,"The police put out a *wordy* letter #apologizing# for *shooting* at you."
1340,老,"old man",0,2019-01-07 08:54:15,"The old man has to take his *walking stick*, must be *spoon-fed*, and will soon be buried in the *dirt*."
1341,考,"consider",0,2019-01-07 08:57:46,"Consider the following: Trying to shoot an *old man* with a *slingshot* will send you straight to hell."
1342,孝,"filial piety",0,2019-01-07 08:59:53,"virtue of respect for one's elders.

*Children* must show filial piety for their *old man*."
1343,教,"teach",0,2019-01-07 09:05:33,"Teachers or *taskmasters* are a child's first exposure to concepts like *filial piety*."
1344,拷,"torture",0,2019-01-07 09:07:07,"*Consider* cutting off one's *fingers* a method of torture."
1345,者,"someone",0,2019-01-07 09:10:57,"An *old man* is someone who has seen many *days*."
1346,煮,"boil",0,2019-01-07 09:12:58,"Oh, no! *Pinnochio* is being boiled over a *cooking fire* to make soup!"
1347,著,"renowned",0,2019-01-07 09:18:58,"*Pinocchio* is renowned for his ""*flower* boy"" appearance."
1348,箸,"chopsticks",0,2019-01-11 12:20:15,"Anytime *Pinocchio* sees *someone* using *bamboo* chopsticks, it gives him a sigh of relief."
1349,署,"signature",0,2019-01-07 09:28:22,"The signature of Walt Disney's character designs are even apparent in *Pinocchio* where he has cartoonishly large *eyes*!"
1350,暑,"sultry",0,2019-01-08 09:24:41,"Very humid and hot

The wax on *Pinocchio* started to melt under the sultry *sun*!"
1351,諸,"various",0,2019-01-08 09:26:54,"If you make *Pinocchio* say various *words*, eventually his nose will start to grow."
1352,猪,"boar",0,2019-01-08 09:34:02,"(Image: a *pack of wild dogs* chasing *Pinocchio* who's trying to escape by riding on the back of a boar. See him bouncing around as they race along?)."
1353,渚,"strand",0,2019-01-08 09:38:26,"*Pinocchio* was stranded on a strand next to a body of *water*."
1354,賭,"gamble",0,2019-01-08 09:42:01,"Geppetto was a hard gambler. When he ran out of *shells*, he bet using *Pinocchio*."
1355,峡,"gorge",0,2019-01-08 09:47:39,"Scissors primitive: The husband carries around a pair of *scissors*.

A gorge is where God has cut into a *mountain* with a pair of *scissors*."
1356,狭,"cramped",0,2019-01-08 09:54:01,"*pack of wild dogs* in a cramped little room waiting to get a haircut from the barber (who uses *scissors*)"
1357,挟,"sandwiched",0,2019-01-08 09:56:03,"I prepared a #sandwich# by cutting up ham with some *scissors* and sandwiched it between two pieces of bread with my *fingers*."
1358,頬,"cheek",0,2019-01-08 09:58:00,"Your #cheeks# contain your jawbones, which are known as the ""*scissors* of the *head*."""
1359,追,"chase",0,2019-01-08 10:02:44,"You can imagine a *maestro* violently gesturing, conducting the score to the movie's car chase on the *road*."
1360,阜,"large hill",0,2019-01-08 10:09:17,"Ludwig van Beethoven, the famous and famously irascible *maestro*, moves to the #largest hill# he can find in Vienna.  At *10^10* feet above sea level (a ridiculously impossible height), he can  compose his *tenth* symphony in peace.  Unfortunately, death takes him before he completes it.  Do not confuse with {塚} or  {丘}."
1361,師,"expert",0,2019-01-08 10:10:19,"A *maestro* in a large auditorium with high *ceilings* is conducting his orchestra of expert musicians at a fever-pitch, sweat pouring out of him. When the piece is over he reaches for his *towel* to wipe his brow."
1362,帥,"commander",0,2019-01-08 10:14:02,"Even the commander sings in the shower, acting like a maestro with his towel on."
1363,官,"bureaucrat",1,2019-01-08 10:20:46,"The *maestro* was invited to meet with top bureaucrats at the *house* of Parliament, however, he was *not allowed to bring his baton*."
1364,棺,"coffin",0,2019-01-08 10:18:54,"Everyone goes into the same *wooden* coffin, even *bureaucrats*."
1365,管,"pipe",0,2019-01-09 08:25:46,"In Japan, *bureaucrats* only smoke from *bamboo* #pipes#. They're ""too good"" for cigarettes."
1366,父,"father",0,2019-01-09 08:28:52,"Not to confuse anyone, but I think if you put your mind to it, you can see the image of a father here. The first two strokes take on the form of his eye brows, and the third and fourth stroke make up the nose and mustache."
1367,釜,"cauldron",0,2019-01-09 08:32:19,"The most intense part of the film: a *father* being lowered slowly into a *metal* cauldron filled with lava."
1368,交,"mingle",0,2019-01-09 08:34:51,"*Father* got divorced and put on his *top hat* because he's single and ready to mingle."
1369,効,"merit",0,2019-01-09 08:38:34,"A true ""bro"" earns his merits by flexing his *muscles* and *mingling* with girls."
1370,較,"contrast",0,2019-01-09 08:42:04,"To #compare# and #contrast# *car*s is a way for men to *mingle*"
1371,校,"exam",0,2019-01-09 08:46:27,"During the exam, the exam papers have plenty of time to *mingle* with the *wooden* desk."
1372,足,"leg",0,2019-01-09 08:50:49,"I'll use my *mouth* to *mend* your leg, I'll kiss it to make it all better :)"
1373,促,"stimulate",0,2019-01-09 08:59:06,"Sick *people* get stimulated by looking at *legs*."
1374,捉,"nab",0,2019-01-09 08:59:44,"i felt a *finger* on my *leg* as someone tried to nab my wallet"
1375,距,"long-distance",0,2019-01-09 09:03:30,"Long-distance relationships work well if you don't want your mate knowing about your *gigantic wooden legs*."
1376,路,"path",0,2019-01-09 09:06:03,"On the path to becoming a pirate, *each* one must gain a *wooden leg*."
1377,露,"dew",0,2019-01-09 09:12:12,"The *path* is always so wet with dew in the early hours that everyone assumes that it had *rained*."
1378,跳,"hop",0,2019-01-09 09:14:01,"Trying to hop with a *wooden leg* *portends* disaster. Ouch."
1379,躍,"leap",0,2019-01-09 09:17:08,"How do pirates spend leap day? Probably sleeping in, resting their *wooden leg* on a *futon*."
1380,践,"tread",0,2019-01-10 09:33:46,"The pirate version of ""Don't tread on me"": Don't step your *peg-leg* on my *float*."
1381,踏,"step",0,2019-01-10 09:37:52,"This kanji is easy to remember because everyone knows the uncomfortable feeling of #step#ping in a *watery* puddle and having your *feet* and toes (トウ) cold and wet for the rest of the *day*.  Seriously.  Shoes can take a long time to dry out!"
1382,踪,"trail",0,2019-01-10 09:42:29,"The #trail# of the *wooden leg religion* was very easy to follow, since all its followers have wooden legs."
1383,骨,"skeleton",0,2019-01-10 09:46:09,"The skeleton supports the body parts of crowned individuals."
1384,滑,"slippery",0,2019-01-10 09:48:25,"The sidewalk can become slippery when *wet*. If you fall, you could break part of your *skeleton*!"
1385,髄,"marrow",0,2019-01-10 09:53:36,"Tell the homeless man left on the *road* that if he *possesses* enough bone marrow in his *skeleton*, he can donate it and make a few bucks."
1386,禍,"calamity",0,2019-01-10 10:03:05,"Calamity Jane at the altar wedding ""*Jawbone*"" Jay Leno. What a calamity!"
1387,渦,"whirlpool",0,2019-01-10 10:05:01,"It's hard to breathe in a whirlpool because your *jawbone* is filled with *water*."
1388,鍋,"pot",0,2019-01-10 10:08:19,"The *metal* pot is being used for witches brew, the recipe calling for ancient *jawbones*."
1389,過,"overdo",0,2019-01-10 10:10:48,"Jaws XII~!  Jaws strikes the highway!  Man, they're really overdoing it now."
1390,阪,"Heights",0,2019-01-10 10:18:19,"If you are against going onto *pinnacles* or you're *anti-pinnacles*, you might have heights."
1391,阿,"Africa",0,2019-01-10 10:20:06,"*Can* we bless the rains down in Africa? Only if we pray from its *pinnacle*."
1392,際,"occasion",0,2019-01-10 10:23:21,"On occasion, we do *rituals* at the *pinnacle*."
1393,障,"hinder",0,2019-01-10 10:26:20,"As you climb up to a *pinnacle*, any object you carry with you will weigh you down and hinder your progress. Therefore, it's best to leave your *badges* at home."
1394,隙,"chink",0,2019-01-10 10:30:24,"To reach the pinnacle of Japanese, do a little each day, and make a little CHINK in the task."
1395,随,"follow",0,2019-01-11 11:14:55,"If you follow the yellow brick *road*, you will reach the *pinnacle* (the emerald castle) and *possess* the ruby red slippers."
1396,陪,"auxiliary",0,2019-01-11 11:20:07,"If you wish to reach the *pinnacle* of sound quality that doesn't sound like its coming from a muzzle, use the *auxiliary* cable."
1397,陽,"sunshine",0,2019-01-11 11:24:35,"You might need to break your *piggy bank* if you want to travel to the world's *pinnacle* beaches in the sunshine state."
1398,陳,"lineup",0,2019-01-11 11:28:52,"See Tokyo's #lineup# of gadgets and gizmos that define Tokyo as the *pinnacle* of the *East*"
1399,防,"ward off",0,2019-01-11 11:32:48,"Ward off dead ends with your *compass* to reach the *pinnacle*."
1400,附,"affixed",0,2019-01-11 11:35:42,"A sign was affixed to the post board listing safety rules and guidelines to *adhere* to when climbing up to the *pinnacle*."
1401,院,"Inst.",0,2019-01-11 11:39:55,"1984's Ministry of Love and Ministry of Truth: Oceania's greatest #institutions#, housed in towering skyscrapers that represent the *pinnacle* of their government, both physically and metaphorically. These two #institutions# are absolutely *perfect*. They're incapable of any wrong."
1402,陣,"camp",0,2019-01-11 11:43:52,"At the *pinnacle* of Mt. Everest, you can camp, but you cannot find a parking place for your *car*!"
1403,隊,"regiment",0,2019-01-11 11:46:41,"Every regiment of *The Pinnacle*'s army is lead by a *Miss Piggy* with a *viking* helmet on."
1404,墜,"crash",0,2019-01-11 11:50:52,"the parachute *regiment* forgot to engage their parachutes and they all crashed to the *ground*."
1405,降,"descend",0,2019-01-11 11:52:57,"""Sunglasses-missing-one-lens"" is obviously the *monocle*.

The proper, high-class way to descend *The Pinnacle* is wearing a *monocle* with your *walking legs* splayed to a full gentlemanly stride."
1406,階,"story (buliding)",0,2019-01-11 11:56:40,"*All pinnacles* of engineering are separated into #stories#."
1407,陛,"highness",0,2019-01-11 12:00:42,"His highness is the *pinnacle* of the *land* and shall not be *compared* to anyone else."
1408,隣,"neighboring",0,2019-01-11 12:05:12,"*America* thinks it is the *pinnacle* of the world, looking down on all neighboring countries through its mirrored, aviator *sunglasses* as *rice*-eaters"
1409,隔,"isolate",0,2019-01-11 12:09:14,"The demented fellow isolated himself from society, living by the *pinnacle*, wishing to get away from soda ads and its power to *dissolve* nails."
1410,隠,"conceal",0,2019-01-14 08:31:04,"It is important that you only bring concealed goods up to the *pinnacle*, especially *calming* beverages like green tea."
1411,堕,"degenerate",0,2019-01-14 08:33:30,"Degenerates like you do not *possess* the *pinnacle* nor the higher *ground*."
1412,陥,"collapse",0,2019-01-14 08:36:27,"The *pinnacle* has been *bound up* since the *good ol' days* and shows no signs of collapsing."
1413,穴,"hole",0,2019-01-14 08:39:20,"Billiards anyone? *House* rules here state that the first person to pot the *eight* ball into the #hole# wins the game."
1414,空,"empty",0,2019-01-14 08:46:38,"This is an #empty# construction site, just a *manhole* and an *I-beam*."
1415,控,"withdraw",0,2019-01-14 08:49:18,"At the ATM, I withdraw my money from my checking account using my *fingers* until it is *empty*."
1416,突,"stab",0,2019-01-14 08:52:00,"When you stab something you often leave a large hole."
1417,究,"research",0,2019-01-14 08:56:28,"Scientists have gathered to research the biggest mystery in *baseball* history: where do the *baseballs* go after being hit in a home run? Do they end up in a black *hole*?"
1418,窒,"plug up",0,2019-01-14 08:59:12,"#Plugging up# your *hole* will lead to *stronger climaxes*"
1419,窃,"stealth",0,2019-01-14 09:03:27,"Stealth mission: testing how you can *cut* through the enemy's defense without being detected, scurrying back to your *hole*."
1420,窟,"cavern",0,2019-01-14 09:09:24,"As you're walking through the cavern, always *yield* if you don't want to fall into *holes*."
1421,窪,"depression",0,2019-01-14 09:12:40,"If you're in the depression *hole*, get some Aloe vera, *water* that comes from *ivy*."
1422,搾,"squeeze",0,2019-01-14 09:17:55,"Imagine trying to squeeze out the last bit of toothpaste through the *hole* using your *fingers* without pulling out the *saw*."
1423,窯,"kiln",0,2019-01-14 09:21:13,"Take the *sheep* you've made out of clay and put it into the *hole* called the kiln, which will bake it over a *fire* overnight."
1424,窮,"hard up",0,2019-01-14 09:24:18,"Lacking money, impecunious, in financial difficulties.

You often find *somebody* who is hard up or in the *hole*, having to sell precious items like his grandfather's *bow* just to get by."
1425,探,"grope",0,2019-01-15 09:29:35,"We have a policy for people who grope others with their *fingers*: slam their *fingers* through a *paper puncher* and hit them with a *wooden* stool"
1426,深,"deep",0,2019-01-18 21:37:46,"Deep down low in the *waters*, you can find rusty *paper punchers* and dead *trees*."
1427,丘,"hill",0,2019-01-15 09:36:48,"At Capitol Hill proposals get *axe*d on the *floor*"
1428,岳,"Point",0,2019-01-15 09:38:56,"*Mountains* and *hills* have a highest point."
1429,兵,"soldier",0,2019-01-15 09:40:28,"Listen up soldiers! We're going to take that *hill*. You are no longer men with human legs. You are voracious animals, with *animal legs*! Got it? *Animal legs*! Now take that hill!"
1430,浜,"seacoast",0,2019-01-15 09:44:01,"D-Day: *Soldiers* take to the *watery* seacoast."
1431,糸,"thread",0,2019-01-15 09:50:53,"Granny: bend your *elbows* and hold them out so she can use them like a rack for her thread so that she can knit a *small* sweater"
1432,織,"weave",0,2019-01-15 09:55:24,"#Weaving# *threads* together is as fun as playing a *kazoo*."
1433,繕,"darning",0,2019-01-20 22:15:20,"Darning is a sewing technique for repairing holes or worn areas in fabric or knitting using needle and thread alone.

Your *virtuous* grandma is able to #darn# your darn ripped shirt, sowing back together with *threads*."
1434,縮,"shrink",0,2019-01-15 10:04:20,"To fit 100 people in one house you have to shrink them until they're as thin as *threads*."
1435,繁,"luxuriant",0,2019-01-17 13:52:11,"yielding abundantly.


If you can demonstrate *cleverness*, you can grow *threads* at a luxuriant rate."
1436,縦,"vertical",0,2019-01-15 10:12:42,"When you see a *thread* hanging VERTICALLY from the ceiling, it is usually *accompanied* by a spider!!"
1437,緻,"fine",0,2019-01-15 10:16:09,"Who *doth* makes such fine *threads*?"
1438,線,"line",0,2019-01-15 10:19:09,"Japan's train lines are like *threads* that *spring* from Tokyo station"
1439,綻,"come apart at the seams",0,2019-01-15 10:21:26,"If you can *determine* where the shirt #comes apart at the seams#, you can sow it back together with *thread*."
1440,締,"tighten",0,2019-01-16 08:30:56,"The *sovereign* uses his *threads* of influence (""pulling the strings"") to tighten his grip on power."
1441,維,"fiber",0,2019-01-16 08:33:56,"With fiber optic *threads*, I can communicate with people halfway across the globe in *Turkey*."
1442,羅,"gauze",0,2019-01-16 08:39:55,"To see if you've stopped bleeding, *eye* the gauze, the white *fibers*."
1443,練,"practice",0,2019-01-16 08:43:02,"PRACTICING Japanese every day is the THREAD that binds me to the EAST."
